champion,picked,side,order,team,enemy,game,position,player,fb,kills,deaths,assists,date,won,time,penta,stage
LEE SIN,False,B,1,PSG,R7,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:30:17,0,PLAY-INS
POPPY,False,B,2,PSG,R7,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:30:17,0,PLAY-INS
AKALI,False,B,3,PSG,R7,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:30:17,0,PLAY-INS
SYLAS,False,B,4,PSG,R7,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:30:17,0,PLAY-INS
TALIYAH,False,B,5,PSG,R7,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:30:17,0,PLAY-INS
RELL,False,R,1,R7,PSG,2,BAN,BAN,False,0,0,0,2023-10-10,False,00:30:17,0,PLAY-INS
NEEKO,False,R,2,R7,PSG,2,BAN,BAN,False,0,0,0,2023-10-10,False,00:30:17,0,PLAY-INS
JARVAN IV,False,R,3,R7,PSG,2,BAN,BAN,False,0,0,0,2023-10-10,False,00:30:17,0,PLAY-INS
KENNEN,False,R,4,R7,PSG,2,BAN,BAN,False,0,0,0,2023-10-10,False,00:30:17,0,PLAY-INS
EZREAL,False,R,5,R7,PSG,2,BAN,BAN,False,0,0,0,2023-10-10,False,00:30:17,0,PLAY-INS
RENEKTON,True,B,1,LLL,GAM,1,TOP,ROBO,False,2,2,8,2023-10-10,True,00:27:10,0,PLAY-INS
RAKAN,True,B,2,LLL,GAM,1,SUPPORT,CEOS,True,2,1,12,2023-10-10,True,00:27:10,0,PLAY-INS
KAI'SA,True,B,3,LLL,GAM,1,ADC,ROUTE,False,11,0,5,2023-10-10,True,00:27:10,1,PLAY-INS
NEEKO,True,B,4,LLL,GAM,1,MID,TINOWNS,False,3,2,6,2023-10-10,True,00:27:10,0,PLAY-INS
VIEGO,True,B,5,LLL,GAM,1,JUNGLE,CROC,False,1,1,5,2023-10-10,True,00:27:10,0,PLAY-INS
ORIANA,True,R,1,GAM,LLL,1,MID,KATI,False,0,4,1,2023-10-10,False,00:27:10,0,PLAY-INS
XAYAH,True,R,2,GAM,LLL,1,ADC,SLAYDER,False,2,3,1,2023-10-10,False,00:27:10,0,PLAY-INS
NAUTILUS,True,R,3,GAM,LLL,1,SUPPORT,PALETTE,False,1,4,0,2023-10-10,False,00:27:10,0,PLAY-INS
RUMBLE,True,R,4,GAM,LLL,1,TOP,KIAYA,False,2,5,1,2023-10-10,False,00:27:10,0,PLAY-INS
JARVAN IV,True,R,5,GAM,LLL,1,JUNGLE,LEVI,False,0,3,2,2023-10-10,False,00:27:10,0,PLAY-INS
TRITANA,False,B,1,LLL,GAM,1,BAN,BAN,False,0,0,0,2023-10-10,True,00:27:10,0,PLAY-INS
JAX,False,B,2,LLL,GAM,1,BAN,BAN,False,0,0,0,2023-10-10,True,00:27:10,0,PLAY-INS
MAOKAI,False,B,3,LLL,GAM,1,BAN,BAN,False,0,0,0,2023-10-10,True,00:27:10,0,PLAY-INS
K'SANTE,False,B,4,LLL,GAM,1,BAN,BAN,False,0,0,0,2023-10-10,True,00:27:10,0,PLAY-INS
LEE SIN,False,B,5,LLL,GAM,1,BAN,BAN,False,0,0,0,2023-10-10,True,00:27:10,0,PLAY-INS
POPPY,False,R,1,GAM,LLL,1,BAN,BAN,False,0,0,0,2023-10-10,False,00:27:10,0,PLAY-INS
RELL,False,R,2,GAM,LLL,1,BAN,BAN,False,0,0,0,2023-10-10,False,00:27:10,0,PLAY-INS
OLAF,False,R,3,GAM,LLL,1,BAN,BAN,False,0,0,0,2023-10-10,False,00:27:10,0,PLAY-INS
SEJUANI,False,R,4,GAM,LLL,1,BAN,BAN,False,0,0,0,2023-10-10,False,00:27:10,0,PLAY-INS
NOCTURNE,False,R,5,GAM,LLL,1,BAN,BAN,False,0,0,0,2023-10-10,False,00:27:10,0,PLAY-INS
RENEKTON,True,B,1,GAM,LLL,2,TOP,KIAYA,False,4,5,4,2023-10-10,False,00:39:33,0,PLAY-INS
KAI'SA,True,B,2,GAM,LLL,2,ADC,SLAYDER,False,3,4,4,2023-10-10,False,00:39:33,0,PLAY-INS
RELL,True,B,3,GAM,LLL,2,SUPPORT,PALETTE,False,0,4,11,2023-10-10,False,00:39:33,0,PLAY-INS
AHRI,True,B,4,GAM,LLL,2,MID,KATI,False,0,3,5,2023-10-10,False,00:39:33,0,PLAY-INS
LEE SIN,True,B,5,GAM,LLL,2,JUNGLE,LEVI,False,4,3,4,2023-10-10,False,00:39:33,0,PLAY-INS
XAYAH,True,R,1,LLL,GAM,2,ADC,ROUTE,False,6,3,7,2023-10-10,True,00:39:33,0,PLAY-INS
RAKAN,True,R,2,LLL,GAM,2,SUPPORT,CEOS,False,0,2,15,2023-10-10,True,00:39:33,0,PLAY-INS
ORIANA,True,R,3,LLL,GAM,2,MID,TINOWNS,False,2,0,11,2023-10-10,True,00:39:33,0,PLAY-INS
K'SANTE,True,R,4,LLL,GAM,2,TOP,ROBO,True,8,3,7,2023-10-10,True,00:39:33,0,PLAY-INS
NOCTURNE,True,R,5,LLL,GAM,2,JUNGLE,CROC,False,3,3,11,2023-10-10,True,00:39:33,0,PLAY-INS
POPPY,False,B,1,GAM,LLL,2,BAN,BAN,False,0,0,0,2023-10-10,False,00:39:33,0,PLAY-INS
OLAF,False,B,2,GAM,LLL,2,BAN,BAN,False,0,0,0,2023-10-10,False,00:39:33,0,PLAY-INS
NEEKO,False,B,3,GAM,LLL,2,BAN,BAN,False,0,0,0,2023-10-10,False,00:39:33,0,PLAY-INS
RUMBLE,False,B,4,GAM,LLL,2,BAN,BAN,False,0,0,0,2023-10-10,False,00:39:33,0,PLAY-INS
JARVAN IV,False,B,5,GAM,LLL,2,BAN,BAN,False,0,0,0,2023-10-10,False,00:39:33,0,PLAY-INS
TRISTANA,False,R,1,LLL,GAM,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:39:33,0,PLAY-INS
JAX,False,R,2,LLL,GAM,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:39:33,0,PLAY-INS
MAOKAI,False,R,3,LLL,GAM,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:39:33,0,PLAY-INS
SYNDRA,False,R,4,LLL,GAM,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:39:33,0,PLAY-INS
VIKTOR,False,R,5,LLL,GAM,2,BAN,BAN,False,0,0,0,2023-10-10,True,00:39:33,0,PLAY-INS
MAOKAI,True,B,1,DFM,CFO,1,SUPPORT,HARP,False,0,3,7,2023-10-11,False,00:33:56,0,PLAY-INS
SENNA,True,B,2,DFM,CFO,1,ADC,YUTAPON,False,0,3,9,2023-10-11,False,00:33:56,0,PLAY-INS
AATROX,True,B,3,DFM,CFO,1,TOP,APAMEN,False,1,5,2,2023-10-11,False,00:33:56,0,PLAY-INS
AHRI,True,B,4,DFM,CFO,1,MID,ARIA,False,6,3,4,2023-10-11,False,00:33:56,0,PLAY-INS
VI,True,B,5,DFM,CFO,1,JUNGLE,STEAL,False,3,5,5,2023-10-11,False,00:33:56,0,PLAY-INS
RUMBLE,True,R,1,CFO,DFM,1,TOP,REST,False,3,0,9,2023-10-11,True,00:33:56,0,PLAY-INS
JAYCE,True,R,2,CFO,DFM,1,MID,JIMIEN,True,10,4,6,2023-10-11,True,00:33:56,0,PLAY-INS
SEJUANI,True,R,3,CFO,DFM,1,JUNGLE,GEMINI,False,0,2,14,2023-10-11,True,00:33:56,0,PLAY-INS
DRAVEN,True,R,4,CFO,DFM,1,ADC,SHUNN,False,6,2,7,2023-10-11,True,00:33:56,0,PLAY-INS
NAUTILUS,True,R,5,CFO,DFM,1,SUPPORT,SHIAUC,False,0,2,11,2023-10-11,True,00:33:56,0,PLAY-INS
LEE SIN,False,B,1,DFM,CFO,1,BAN,BAN,False,0,0,0,2023-10-11,False,00:33:56,0,PLAY-INS
ORIANA,False,B,2,DFM,CFO,1,BAN,BAN,False,0,0,0,2023-10-11,False,00:33:56,0,PLAY-INS
JAX,False,B,3,DFM,CFO,1,BAN,BAN,False,0,0,0,2023-10-11,False,00:33:56,0,PLAY-INS
XAYAH,False,B,4,DFM,CFO,1,BAN,BAN,False,0,0,0,2023-10-11,False,00:33:56,0,PLAY-INS
BLITZCRANK,False,B,5,DFM,CFO,1,BAN,BAN,False,0,0,0,2023-10-11,False,00:33:56,0,PLAY-INS
TALIYAH,False,R,1,CFO,DFM,1,BAN,BAN,False,0,0,0,2023-10-11,True,00:33:56,0,PLAY-INS
TRISTANA,False,R,2,CFO,DFM,1,BAN,BAN,False,0,0,0,2023-10-11,True,00:33:56,0,PLAY-INS
RELL,False,R,3,CFO,DFM,1,BAN,BAN,False,0,0,0,2023-10-11,True,00:33:56,0,PLAY-INS
SION,False,R,4,CFO,DFM,1,BAN,BAN,False,0,0,0,2023-10-11,True,00:33:56,0,PLAY-INS
AZIR,False,R,5,CFO,DFM,1,BAN,BAN,False,0,0,0,2023-10-11,True,00:33:56,0,PLAY-INS
MAOKAI,True,B,1,CFO,DFM,2,JUNGLE,GEMINI,False,1,1,15,2023-10-11,True,00:27:34,0,PLAY-INS
RUMBLE,True,B,2,CFO,DFM,2,TOP,REST,False,3,0,2,2023-10-11,True,00:27:34,0,PLAY-INS
JAYCE,True,B,3,CFO,DFM,2,MID,JIMIEN,False,2,1,8,2023-10-11,True,00:27:34,0,PLAY-INS
KAI'SA,True,B,4,CFO,DFM,2,ADC,SHUNN,True,8,1,8,2023-10-11,True,00:27:34,0,PLAY-INS
BLITZCRANK,True,B,5,CFO,DFM,2,SUPPORT,SHIAUC,False,4,1,11,2023-10-11,True,00:27:34,0,PLAY-INS
XAYAH,True,R,1,DFM,CFO,2,ADC,YUTAPON,False,3,3,0,2023-10-11,False,00:27:34,0,PLAY-INS
RAKAN,True,R,2,DFM,CFO,2,SUPPORT,HARP,False,0,4,3,2023-10-11,False,00:27:34,0,PLAY-INS
AATROX,True,R,3,DFM,CFO,2,TOP,APAMEN,False,0,3,1,2023-10-11,False,00:27:34,0,PLAY-INS
JARVA IV,True,R,4,DFM,CFO,2,JUNGLE,STEAL,False,0,5,1,2023-10-11,False,00:27:34,0,PLAY-INS
AKALI,True,R,5,DFM,CFO,2,MID,ARIA,False,1,3,1,2023-10-11,False,00:27:34,0,PLAY-INS
TALIYAH,False,B,1,CFO,DFM,2,BAN,BAN,False,0,0,0,2023-10-11,True,00:27:34,0,PLAY-INS
TRISTANA,False,B,2,CFO,DFM,2,BAN,BAN,False,0,0,0,2023-10-11,True,00:27:34,0,PLAY-INS
SENNA,False,B,3,CFO,DFM,2,BAN,BAN,False,0,0,0,2023-10-11,True,00:27:34,0,PLAY-INS
NOCTURNE,False,B,4,CFO,DFM,2,BAN,BAN,False,0,0,0,2023-10-11,True,00:27:34,0,PLAY-INS
SEJUANI,False,B,5,CFO,DFM,2,BAN,BAN,False,0,0,0,2023-10-11,True,00:27:34,0,PLAY-INS
LEE SIN,False,R,1,DFM,CFO,2,BAN,BAN,False,0,0,0,2023-10-11,False,00:27:34,0,PLAY-INS
RELL,False,R,2,DFM,CFO,2,BAN,BAN,False,0,0,0,2023-10-11,False,00:27:34,0,PLAY-INS
ORIANA,False,R,3,DFM,CFO,2,BAN,BAN,False,0,0,0,2023-10-11,False,00:27:34,0,PLAY-INS
EZREAL,False,R,4,DFM,CFO,2,BAN,BAN,False,0,0,0,2023-10-11,False,00:27:34,0,PLAY-INS
APHELIOS,False,R,5,DFM,CFO,2,BAN,BAN,False,0,0,0,2023-10-11,False,00:27:34,0,PLAY-INS
RELL,True,B,1,BDS,TW,1,JUNGLE,SHEO,True,1,0,10,2023-10-11,True,00:23:44,0,PLAY-INS
DARIUS,True,B,2,BDS,TW,1,TOP,ADAM,False,8,0,4,2023-10-11,True,00:23:44,0,PLAY-INS
EZREAL,True,B,3,BDS,TW,1,ADC,CROWNIE,False,1,0,5,2023-10-11,True,00:23:44,0,PLAY-INS
ALISTAR,True,B,4,BDS,TW,1,SUPPORT,LABROV,False,0,0,7,2023-10-11,True,00:23:44,0,PLAY-INS
SYNDRA,True,B,5,BDS,TW,1,MID,NUC,False,5,2,2,2023-10-11,True,00:23:44,0,PLAY-INS
RENEKTON,True,R,1,TW,BDS,1,TOP,SPARDA,False,0,6,0,2023-10-11,False,00:23:44,0,PLAY-INS
RAKAN,True,R,2,TW,BDS,1,SUPPORT,BIE,False,0,2,2,2023-10-11,False,00:23:44,0,PLAY-INS
KAI'SA,True,R,3,TW,BDS,1,ADC,ARTEMIS,False,0,2,0,2023-10-11,False,00:23:44,0,PLAY-INS
NEEKO,True,R,4,TW,BDS,1,MID,GLORYY,False,1,2,0,2023-10-11,False,00:23:44,0,PLAY-INS
VIEGO,True,R,5,TW,BDS,1,JUNGLE,BEANJ,False,1,3,0,2023-10-11,False,00:23:44,0,PLAY-INS
SEJUANI,False,B,1,BDS,TW,1,BAN,BAN,False,0,0,0,2023-10-11,True,00:23:44,0,PLAY-INS
VI,False,B,2,BDS,TW,1,BAN,BAN,False,0,0,0,2023-10-11,True,00:23:44,0,PLAY-INS
XAYAH,False,B,3,BDS,TW,1,BAN,BAN,False,0,0,0,2023-10-11,True,00:23:44,0,PLAY-INS
TALIYAH,False,B,4,BDS,TW,1,BAN,BAN,False,0,0,0,2023-10-11,True,00:23:44,0,PLAY-INS
NOCTURNE,False,B,5,BDS,TW,1,BAN,BAN,False,0,0,0,2023-10-11,True,00:23:44,0,PLAY-INS
MAOKAI,False,R,1,TW,BDS,1,BAN,BAN,False,0,0,0,2023-10-11,False,00:23:44,0,PLAY-INS
ORIANA,False,R,2,TW,BDS,1,BAN,BAN,False,0,0,0,2023-10-11,False,00:23:44,0,PLAY-INS
POPPY,False,R,3,TW,BDS,1,BAN,BAN,False,0,0,0,2023-10-11,False,00:23:44,0,PLAY-INS
AZIR,False,R,4,TW,BDS,1,BAN,BAN,False,0,0,0,2023-10-11,False,00:23:44,0,PLAY-INS
IVERN,False,R,5,TW,BDS,1,BAN,BAN,False,0,0,0,2023-10-11,False,00:23:44,0,PLAY-INS
RENEKTON,True,B,1,BDS,TW,2,TOP,ADAM,False,3,5,2,2023-10-11,False,00:38:45,0,PLAY-INS
TALIYAH,True,B,2,BDS,TW,2,MID,NUC,False,3,4,4,2023-10-11,False,00:38:45,0,PLAY-INS
RELL,True,B,3,BDS,TW,2,JUNGLE,SHEO,False,0,4,6,2023-10-11,False,00:38:45,0,PLAY-INS
EZREAL,True,B,4,BDS,TW,2,ADC,CROWNIE,False,2,3,3,2023-10-11,False,00:38:45,0,PLAY-INS
BRAUM,True,B,5,BDS,TW,2,SUPPORT,LABROV,False,0,5,6,2023-10-11,False,00:38:45,0,PLAY-INS
KAI'SA,True,R,1,TW,BDS,2,ADC,ARTEMIS,False,11,0,8,2023-10-11,True,00:38:45,0,PLAY-INS
K'SANTE,True,R,2,TW,BDS,2,TOP,SPARDA,False,0,5,11,2023-10-11,True,00:38:45,0,PLAY-INS
NAUTILUS,True,R,3,TW,BDS,2,SUPPORT,BIE,False,1,0,14,2023-10-11,True,00:38:45,0,PLAY-INS
VIEGO,True,R,4,TW,BDS,2,JUNGLE,BEANJ,True,4,1,14,2023-10-11,True,00:38:45,0,PLAY-INS
SYNDRA,True,R,5,TW,BDS,2,MID,GLORYY,False,5,2,10,2023-10-11,True,00:38:45,0,PLAY-INS
SEJUANI,False,B,1,BDS,TW,2,BAN,BAN,False,0,0,0,2023-10-11,False,00:38:45,0,PLAY-INS
VI,False,B,2,BDS,TW,2,BAN,BAN,False,0,0,0,2023-10-11,False,00:38:45,0,PLAY-INS
XAYAH,False,B,3,BDS,TW,2,BAN,BAN,False,0,0,0,2023-10-11,False,00:38:45,0,PLAY-INS
NOCTURNE,False,B,4,BDS,TW,2,BAN,BAN,False,0,0,0,2023-10-11,False,00:38:45,0,PLAY-INS
NEEKO,False,B,5,BDS,TW,2,BAN,BAN,False,0,0,0,2023-10-11,False,00:38:45,0,PLAY-INS
MAOKAI,False,R,1,TW,BDS,2,BAN,BAN,False,0,0,0,2023-10-11,True,00:38:45,0,PLAY-INS
ORIANA,False,R,2,TW,BDS,2,BAN,BAN,False,0,0,0,2023-10-11,True,00:38:45,0,PLAY-INS
DARIUS,False,R,3,TW,BDS,2,BAN,BAN,False,0,0,0,2023-10-11,True,00:38:45,0,PLAY-INS
JAYCE,False,R,4,TW,BDS,2,BAN,BAN,False,0,0,0,2023-10-11,True,00:38:45,0,PLAY-INS
YONE,False,R,5,TW,BDS,2,BAN,BAN,False,0,0,0,2023-10-11,True,00:38:45,0,PLAY-INS
XAYAH,True,B,1,TW,BDS,3,ADC,ARTEMIS,True,5,0,5,2023-10-11,True,00:41:04,0,PLAY-INS
K'SANTE,True,B,2,TW,BDS,3,TOP,SPARDA,False,6,0,7,2023-10-11,True,00:41:04,0,PLAY-INS
NAUTILUS,True,B,3,TW,BDS,3,SUPPORT,BIE,False,0,1,9,2023-10-11,True,00:41:04,0,PLAY-INS
LEE SIN,True,B,4,TW,BDS,3,JUNGLE,BEANJ,False,1,2,7,2023-10-11,True,00:41:04,0,PLAY-INS
LEBLANC,True,B,5,TW,BDS,3,MID,GLORYY,False,2,2,4,2023-10-11,True,00:41:04,0,PLAY-INS
RAKAN,True,R,1,BDS,TW,3,SUPPORT,LABROV,False,0,3,5,2023-10-11,False,00:41:04,0,PLAY-INS
RENEKTON,True,R,2,BDS,TW,3,TOP,ADAM,False,2,6,0,2023-10-11,False,00:41:04,0,PLAY-INS
EZREAL,True,R,3,BDS,TW,3,ADC,CROWNIE,False,1,2,3,2023-10-11,False,00:41:04,0,PLAY-INS
SYNDRA,True,R,4,BDS,TW,3,MID,NUC,False,2,2,3,2023-10-11,False,00:41:04,0,PLAY-INS
GRAGAS,True,R,5,BDS,TW,3,JUNGLE,SHEO,False,0,1,4,2023-10-11,False,00:41:04,0,PLAY-INS
MAOKAI,False,B,1,TW,BDS,3,BAN,BAN,False,0,0,0,2023-10-11,True,00:41:04,0,PLAY-INS
ORIANA,False,B,2,TW,BDS,3,BAN,BAN,False,0,0,0,2023-10-11,True,00:41:04,0,PLAY-INS
DARIUS,False,B,3,TW,BDS,3,BAN,BAN,False,0,0,0,2023-10-11,True,00:41:04,0,PLAY-INS
RELL,False,B,4,TW,BDS,3,BAN,BAN,False,0,0,0,2023-10-11,True,00:41:04,0,PLAY-INS
POPPY,False,B,5,TW,BDS,3,BAN,BAN,False,0,0,0,2023-10-11,True,00:41:04,0,PLAY-INS
SEJUANI,False,R,1,BDS,TW,3,BAN,BAN,False,0,0,0,2023-10-11,False,00:41:04,0,PLAY-INS
VI,False,R,2,BDS,TW,3,BAN,BAN,False,0,0,0,2023-10-11,False,00:41:04,0,PLAY-INS
KAI'SA,False,R,3,BDS,TW,3,BAN,BAN,False,0,0,0,2023-10-11,False,00:41:04,0,PLAY-INS
VIEGO,False,R,4,BDS,TW,3,BAN,BAN,False,0,0,0,2023-10-11,False,00:41:04,0,PLAY-INS
NEEKO,False,R,5,BDS,TW,3,BAN,BAN,False,0,0,0,2023-10-11,False,00:41:04,0,PLAY-INS
XAYAH,True,B,1,PSG,LLL,1,ADC,WAKO,False,7,2,4,2023-10-12,True,00:32:52,0,PLAY-INS
RELL,True,B,2,PSG,LLL,1,SUPPORT,WOODY,False,0,3,16,2023-10-12,True,00:32:52,0,PLAY-INS
JARVAN IV,True,B,3,PSG,LLL,1,JUNGLE,JUNJIA,False,7,2,14,2023-10-12,True,00:32:52,0,PLAY-INS
NEEKO,True,B,4,PSG,LLL,1,MID,MAPLE,False,3,3,10,2023-10-12,True,00:32:52,0,PLAY-INS
GNAR,True,B,5,PSG,LLL,1,TOP,AZHI,False,5,3,9,2023-10-12,True,00:32:52,0,PLAY-INS
RENEKTON,True,R,1,LLL,PSG,1,TOP,ROBO,True,5,4,4,2023-10-12,False,00:32:52,0,PLAY-INS
RAKAN,True,R,2,LLL,PSG,1,SUPPORT,CEOS,False,0,5,11,2023-10-12,False,00:32:52,0,PLAY-INS
SIVIR,True,R,3,LLL,PSG,1,ADC,ROUTE,False,6,4,5,2023-10-12,False,00:32:52,0,PLAY-INS
SEJUANI,True,R,4,LLL,PSG,1,JUNGLE,CROC,False,1,6,8,2023-10-12,False,00:32:52,0,PLAY-INS
TALIYAH,True,R,5,LLL,PSG,1,MID,TINOWNS,False,1,3,6,2023-10-12,False,00:32:52,0,PLAY-INS
NOCTURNE,False,B,1,PSG,LLL,1,BAN,BAN,False,0,0,0,2023-10-12,True,00:32:52,0,PLAY-INS
POPPY,False,B,2,PSG,LLL,1,BAN,BAN,False,0,0,0,2023-10-12,True,00:32:52,0,PLAY-INS
KAI'SA,False,B,3,PSG,LLL,1,BAN,BAN,False,0,0,0,2023-10-12,True,00:32:52,0,PLAY-INS
LEE SIN,False,B,4,PSG,LLL,1,BAN,BAN,False,0,0,0,2023-10-12,True,00:32:52,0,PLAY-INS
VIEGO,False,B,5,PSG,LLL,1,BAN,BAN,False,0,0,0,2023-10-12,True,00:32:52,0,PLAY-INS
JAYCE,False,R,1,LLL,PSG,1,BAN,BAN,False,0,0,0,2023-10-12,False,00:32:52,0,PLAY-INS
MAOKAI,False,R,2,LLL,PSG,1,BAN,BAN,False,0,0,0,2023-10-12,False,00:32:52,0,PLAY-INS
RUMBLE,False,R,3,LLL,PSG,1,BAN,BAN,False,0,0,0,2023-10-12,False,00:32:52,0,PLAY-INS
KENNEN,False,R,4,LLL,PSG,1,BAN,BAN,False,0,0,0,2023-10-12,False,00:32:52,0,PLAY-INS
JAX,False,R,5,LLL,PSG,1,BAN,BAN,False,0,0,0,2023-10-12,False,00:32:52,0,PLAY-INS
NEEKO,True,B,1,LLL,PSG,2,MID,TINOWNS,False,0,5,2,2023-10-12,False,00:32:12,0,PLAY-INS
SIVIR,True,B,2,LLL,PSG,2,ADC,ROUTE,False,2,2,2,2023-10-12,False,00:32:12,0,PLAY-INS
ALISTAR,True,B,3,LLL,PSG,2,SUPPORT,CEOS,False,1,5,1,2023-10-12,False,00:32:12,0,PLAY-INS
KHA'ZIX,True,B,4,LLL,PSG,2,JUNGLE,CROC,False,1,6,0,2023-10-12,False,00:32:12,0,PLAY-INS
MALPHITE,True,B,5,LLL,PSG,2,TOP,ROBO,False,0,5,0,2023-10-12,False,00:32:12,0,PLAY-INS
RELL,True,R,1,PSG,LLL,2,SUPPORT,WOODY,False,1,2,16,2023-10-12,True,00:32:12,0,PLAY-INS
KAI'SA,True,R,2,PSG,LLL,2,ADC,WAKO,False,11,0,4,2023-10-12,True,00:32:12,0,PLAY-INS
KENNEN,True,R,3,PSG,LLL,2,TOP,AZHI,True,5,0,14,2023-10-12,True,00:32:12,0,PLAY-INS
VIEGO,True,R,4,PSG,LLL,2,JUNGLE,JUNJIA,False,3,0,12,2023-10-12,True,00:32:12,0,PLAY-INS
LEBLANC,True,R,5,PSG,LLL,2,MID,MAPLE,False,3,2,6,2023-10-12,True,00:32:12,0,PLAY-INS
JAYCE,False,B,1,LLL,PSG,2,BAN,BAN,False,0,0,0,2023-10-12,False,00:32:12,0,PLAY-INS
MAOKAI,False,B,2,LLL,PSG,2,BAN,BAN,False,0,0,0,2023-10-12,False,00:32:12,0,PLAY-INS
JARVAN IV,False,B,3,LLL,PSG,2,BAN,BAN,False,0,0,0,2023-10-12,False,00:32:12,0,PLAY-INS
SYLAS,False,B,4,LLL,PSG,2,BAN,BAN,False,0,0,0,2023-10-12,False,00:32:12,0,PLAY-INS
RAKAN,False,B,5,LLL,PSG,2,BAN,BAN,False,0,0,0,2023-10-12,False,00:32:12,0,PLAY-INS
NOCTURNE,False,R,1,PSG,LLL,2,BAN,BAN,False,0,0,0,2023-10-12,True,00:32:12,0,PLAY-INS
POPPY,False,R,2,PSG,LLL,2,BAN,BAN,False,0,0,0,2023-10-12,True,00:32:12,0,PLAY-INS
